Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers
1, 0, 0, 0, 0, 1:0, 2:1, NO_TECH
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 4, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 5, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 6, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 7, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 8, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 9, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 10, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 11, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 12, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 13, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 14, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 15, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 16, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 17, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 18, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 19, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 20, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 21, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 22, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 23, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 24, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 25, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 26, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 27, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 28, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 29, 0, 0, 0, 0:0, 0:1, NO_TECH
2, 0, 20, 0, 0, 1:0, 1:1, NO_TECH
2, 1, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 4, 20, 0, 0, 1:0, 1:1, NO_TECH
2, 5, 20, 0, 0, 1:0, 1:1, NO_TECH
2, 6, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 7, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 8, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 9, 0, 0, 0, 1:0, 5:1, NO_TECH
2, 10, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 11, 0, 0, 0, 1:0, 5:1, NO_TECH
2, 12, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 14, 55, 0, 0, 0:0, 0:1, NO_TECH
2, 15, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 18, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 20, 55, 0, 0, 0:0, 0:1, NO_TECH
2, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 24, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 25, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 26, 55, 0, 0, 0:0, 0:1, NO_TECH
2, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 0, 20, 0, 0, 1:0, 1:1, NO_TECH
3, 1, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 4, 20, 0, 0, 1:0, 1:1, NO_TECH
3, 5, 20, 0, 0, 1:0, 1:1, NO_TECH
3, 6, 30, 0, 0, 2:0, 1:1, NO_TECH
3, 7, 30, 0, 0, 2:0, 1:1, NO_TECH
3, 8, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 9, 0, 0, 0, 1:0, 5:1, NO_TECH
3, 10, 10, 0, 0, 2:0, 0:0, NO_TECH
3, 11, 0, 0, 0, 1:0, 5:1, NO_TECH
3, 12, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 14, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 15, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 18, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 20, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 24, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 25, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 26, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
4, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
4, 4, 20, 0, 0, 1:0, 1:1, NO_TECH
4, 5, 20, 0, 0, 1:0, 1:1, NO_TECH
4, 6, 30, 10, 0, 2:0, 1:1, NO_TECH
4, 7, 30, 10, 0, 2:0, 1:1, NO_TECH
4, 8, 30, 10, 0, 2:0, 1:1, NO_TECH
4, 9, 30, 0, 0, 2:0, 0:0, NO_TECH
4, 10, 10, 0, 0, 2:0, 0:0, NO_TECH
4, 11, 30, 0, 0, 2:0, 0:0, NO_TECH
4, 12, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 14, 55, 0, 0, 0:0, 0:1, NO_TECH
4, 15, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 18, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 20, 55, 0, 0, 0:0, 0:1, NO_TECH
4, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 24, 40, 25, 0, 0:0, 0:1, NO_TECH
4, 25, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 26, 55, 0, 20, 0:0, 0:1, NO_TECH
4, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
5, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 3, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 4, 20, 0, 0, 1:0, 1:1, NO_TECH
5, 5, 0, 0, 0, 1:0, 1:1, NO_TECH
5, 6, 30, 35, 0, 2:0, 1:1, TECH_ARCHERY
5, 7, 20, 10, 0, 2:0, 1:1, NO_TECH
5, 8, 30, 10, 0, 2:0, 1:1, NO_TECH
5, 9, 30, 0, 0, 2:0, 0:0, NO_TECH
5, 10, 10, 0, 0, 2:0, 1:1, NO_TECH
5, 11, 30, 0, 20, 2:0, 0:0, NO_TECH
5, 12, 40, 0, 20, 0:0, 0:1, NO_TECH
5, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 14, 55, 0, 0, 0:0, 0:1, NO_TECH
5, 15, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 18, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 20, 55, 35, 0, 0:0, 0:1, NO_TECH
5, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 24, 40, 25, 0, 0:0, 0:1, NO_TECH
5, 25, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 26, 55, 0, 20, 0:0, 0:1, NO_TECH
5, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
6, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
6, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
6, 3, 30, 0, 20, 2:0, 1:1, NO_TECH
6, 4, 20, 0, 0, 1:0, 1:1, NO_TECH
6, 5, 20, 0, 0, 1:0, 1:1, NO_TECH
6, 6, 30, 35, 0, 1:0, 2:1, TECH_ARCHERY
6, 7, 30, 35, 0, 1:0, 2:1, NO_TECH
6, 8, 30, 10, 0, 2:0, 1:1, NO_TECH
6, 9, 30, 0, 0, 2:0, 1:1, NO_TECH
6, 10, 30, 0, 0, 2:0, 1:1, NO_TECH
6, 11, 10, 0, 20, 2:0, 1:1, NO_TECH
6, 12, 40, 0, 20, 0:0, 0:1, NO_TECH
6, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 14, 55, 0, 0, 0:0, 0:1, NO_TECH
6, 15, 40, 0, 20, 0:0, 0:1, NO_TECH
6, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 18, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 20, 55, 35, 0, 0:0, 0:1, NO_TECH
6, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 24, 40, 25, 0, 0:0, 0:1, NO_TECH
6, 25, 40, 10, 0, 0:0, 0:1, NO_TECH
6, 26, 55, 0, 20, 0:0, 0:1, NO_TECH
6, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
7, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
7, 2, 0, 0, 0, 2:0, 1:1, NO_TECH
7, 3, 30, 0, 40, 2:0, 1:1, NO_TECH
7, 4, 0, 0, 0, 1:0, 1:1, NO_TECH
7, 5, 20, 0, 0, 1:0, 1:1, NO_TECH
7, 6, 30, 25, 0, 1:0, 2:1, TECH_ARCHERY
7, 7, 20, 35, 0, 1:0, 3:1, NO_TECH
7, 8, 30, 10, 0, 2:0, 2:1, NO_TECH
7, 9, 45, 0, 0, 2:0, 1:1, NO_TECH
7, 10, 30, 0, 0, 2:0, 1:1, NO_TECH
7, 11, 10, 0, 35, 2:0, 1:1, NO_TECH
7, 12, 40, 0, 20, 0:0, 0:1, NO_TECH
7, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 14, 55, 25, 0, 0:0, 0:1, NO_TECH
7, 15, 40, 0, 20, 0:0, 0:1, NO_TECH
7, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 18, 20, 0, 10, 0:0, 0:1, NO_TECH
7, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 20, 55, 35, 0, 0:0, 0:1, NO_TECH
7, 21, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 24, 40, 25, 0, 0:0, 0:1, NO_TECH
7, 25, 40, 10, 0, 0:0, 0:1, NO_TECH
7, 26, 55, 0, 20, 0:0, 0:1, NO_TECH
7, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 29, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
8, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
8, 2, 0, 0, 0, 2:0, 2:1, NO_TECH
8, 3, 30, 0, 40, 2:0, 1:1, NO_TECH
8, 4, 0, 0, 0, 1:0, 2:1, NO_TECH
8, 5, 20, 0, 0, 1:0, 2:1, NO_TECH
8, 6, 30, 25, 0, 1:0, 2:1, TECH_ARCHERY
8, 7, 20, 35, 0, 1:0, 3:1, NO_TECH
8, 8, 30, 10, 35, 2:0, 2:1, NO_TECH
8, 9, 45, 0, 0, 3:0, 1:1, NO_TECH
8, 10, 30, 0, 0, 2:0, 1:1, NO_TECH
8, 11, 10, 0, 15, 2:0, 1:1, NO_TECH
8, 12, 40, 0, 20, 0:0, 0:1, NO_TECH
8, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 14, 55, 35, 0, 0:0, 0:1, NO_TECH
8, 15, 40, 0, 20, 0:0, 0:1, NO_TECH
8, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 17, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 18, 20, 10, 10, 0:0, 0:1, NO_TECH
8, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 20, 55, 35, 0, 0:0, 0:1, NO_TECH
8, 21, 40, 0, 20, 0:0, 0:1, NO_TECH
8, 22, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 23, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 24, 40, 25, 0, 0:0, 0:1, NO_TECH
8, 25, 40, 10, 0, 0:0, 0:1, NO_TECH
8, 26, 55, 0, 20, 0:0, 0:1, NO_TECH
8, 27, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 28, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 29, 40, 0, 20, 0:0, 0:1, NO_TECH
9, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
9, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
9, 2, 0, 0, 0, 2:0, 2:1, NO_TECH
9, 3, 30, 0, 40, 2:0, 2:1, NO_TECH
9, 4, 15, 0, 0, 1:0, 2:1, NO_TECH
9, 5, 35, 0, 0, 1:0, 2:1, NO_TECH
9, 6, 30, 35, 0, 1:0, 3:1, TECH_ARCHERY
9, 7, 20, 55, 0, 1:0, 3:1, NO_TECH
9, 8, 30, 10, 35, 2:0, 2:1, NO_TECH
9, 9, 45, 25, 20, 3:0, 1:1, TECH_ARCHERY
9, 10, 20, 0, 0, 2:0, 2:1, NO_TECH
9, 11, 10, 0, 20, 2:0, 2:1, NO_TECH
9, 12, 40, 25, 20, 0:0, 0:1, NO_TECH
9, 13, 40, 0, 0, 0:0, 0:1, NO_TECH
9, 14, 55, 55, 0, 0:0, 0:1, NO_TECH
9, 15, 40, 0, 20, 0:0, 0:1, NO_TECH
9, 16, 40, 0, 0, 0:0, 0:1, NO_TECH
9, 17, 40, 0, 15, 0:0, 0:1, NO_TECH
9, 18, 20, 10, 10, 0:0, 0:1, NO_TECH
9, 19, 40, 0, 0, 0:0, 0:1, NO_TECH
9, 20, 55, 25, 0, 0:0, 0:1, NO_TECH
9, 21, 40, 0, 20, 0:0, 0:1, NO_TECH
