Game Turn, Player, City, Food Adv., Prod. Adv., Construct, Order Source
1, 0, LOC_CITY_NAME_RIO_DE_JANEIRO, 1.52, -3.29, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 1, LOC_CITY_NAME_URUK, -0.52, 4.28, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
1, 1, LOC_CITY_NAME_URUK, , , BUILDING_MONUMENT, Default Specialization, , , Value 22.0
1, 2, LOC_CITY_NAME_RA_KEDET, -1.65, -2.87, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 2, LOC_CITY_NAME_RA_KEDET, , , UNIT_SCOUT, Default Specialization, , , Value 16.9
1, 3, LOC_CITY_NAME_NIDAROS, 2.88, -2.66, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.1, , 
1, 3, LOC_CITY_NAME_NIDAROS, , , UNIT_SCOUT, Default Specialization, , , Value 19.9
1, 4, LOC_CITY_NAME_AACHEN, -0.52, -1.19, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 4, LOC_CITY_NAME_AACHEN, , , UNIT_SCOUT, Default Specialization, , , Value 19.9
1, 6, LOC_CITY_NAME_LISBON, -4.14, -1.82, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.1, YIELD_FAITH: 0.0, , 
1, 6, LOC_CITY_NAME_LISBON, , , UNIT_SLINGER, Default Specialization, , , Value 4.5
1, 7, LOC_CITY_NAME_KABUL, 0.61, -1.82, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.1, YIELD_FAITH: 0.0, , 
1, 7, LOC_CITY_NAME_KABUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 8, LOC_CITY_NAME_STOCKHOLM, 1.07, -1.61, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.1, YIELD_FAITH: 0.0, , 
1, 8, LOC_CITY_NAME_STOCKHOLM, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 9, LOC_CITY_NAME_BANDAR_BRUNEI, 0.39, 0.07, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
1, 9, LOC_CITY_NAME_BANDAR_BRUNEI, , , BUILDING_MONUMENT, Default Specialization, , , Value 15.2
1, 10, LOC_CITY_NAME_NAN_MADOL, -0.52, -2.87, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 10, LOC_CITY_NAME_NAN_MADOL, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 11, LOC_CITY_NAME_HATTUSA, 1.29, -1.82, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: -0.1, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.1, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 11, LOC_CITY_NAME_HATTUSA, , , BUILDING_MONUMENT, Default Specialization, , , Value 18.4
1, 12, LOC_CITY_NAME_JERUSALEM, 0.84, 1.13, , YIELD_FOOD: 0.0, YIELD_PRODUCTION: 0.1, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 12, LOC_CITY_NAME_JERUSALEM, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
1, 13, LOC_CITY_NAME_SEOUL, 2.20, 1.34, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: -0.1, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: 0.0, , 
1, 13, LOC_CITY_NAME_SEOUL, , , BUILDING_MONUMENT, Default Specialization, , , Value 10.8
1, 14, LOC_CITY_NAME_LA_VENTA, 3.78, -0.35, , YIELD_FOOD: 0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.0, YIELD_FAITH: -0.1, , 
1, 14, LOC_CITY_NAME_LA_VENTA, , , BUILDING_MONUMENT, Default Specialization, , , Value 16.9
2, 1, LOC_CITY_NAME_URUK, , CONTRACT 7, SUBMITTED, UNIT_SCOUT, NO_BUILDING, NO_DISTRICT, VALUE 10.0, Build Trigger Unit
2, 1, LOC_CITY_NAME_URUK, , CONTRACT 8, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 26.0, Build Trigger Unit
2, 1, LOC_CITY_NAME_URUK, , CONTRACT 11, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 110.0, Build City Improvement
2, 1, LOC_CITY_NAME_URUK, , CONTRACT 13, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build Trigger Unit
2, 2, LOC_CITY_NAME_RA_KEDET, , CONTRACT 15, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 28.0, Build Trigger Unit
2, 2, LOC_CITY_NAME_RA_KEDET, , CONTRACT 17, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 21.0, Build City Building
2, 2, LOC_CITY_NAME_RA_KEDET, , CONTRACT 20, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 21.0, Build Trigger Unit
2, 3, LOC_CITY_NAME_NIDAROS, , CONTRACT 22, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 26.0, Build Trigger Unit
2, 3, LOC_CITY_NAME_NIDAROS, , CONTRACT 25, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build Trigger Unit
2, 4, LOC_CITY_NAME_AACHEN, , CONTRACT 28, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 16.0, Build Trigger Unit
2, 4, LOC_CITY_NAME_AACHEN, , CONTRACT 29, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 27.0, Build City Building
2, 4, LOC_CITY_NAME_AACHEN, , CONTRACT 32, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
2, 4, LOC_CITY_NAME_AACHEN, , CONTRACT 34, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 21.0, Build Trigger Unit
2, 5, LOC_CITY_NAME_ATHENS, -3.23, -0.55, , YIELD_FOOD: -0.1, YIELD_PRODUCTION: 0.0, YIELD_GOLD: 0.0, YIELD_SCIENCE: 0.0, YIELD_CULTURE: 0.1, YIELD_FAITH: 0.0, , 
2, 5, LOC_CITY_NAME_ATHENS, , , UNIT_SCOUT, Default Specialization, , , Value 42.9
2, 6, LOC_CITY_NAME_LISBON, , CONTRACT 35, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build City Building
2, 8, LOC_CITY_NAME_STOCKHOLM, , CONTRACT 45, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
2, 9, LOC_CITY_NAME_BANDAR_BRUNEI, , CONTRACT 48, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
2, 10, LOC_CITY_NAME_NAN_MADOL, , CONTRACT 51, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
2, 11, LOC_CITY_NAME_HATTUSA, , CONTRACT 55, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 72.0, Build City Improvement
2, 14, LOC_CITY_NAME_LA_VENTA, , CONTRACT 63, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 64.0, Build City Improvement
3, 3, LOC_CITY_NAME_NIDAROS, , CONTRACT 65, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 83.0, Build City Improvement
3, 5, LOC_CITY_NAME_ATHENS, , CONTRACT 67, SUBMITTED, UNIT_SLINGER, NO_BUILDING, NO_DISTRICT, VALUE 38.0, Build Trigger Unit
3, 5, LOC_CITY_NAME_ATHENS, , CONTRACT 68, SUBMITTED, NO_UNIT, BUILDING_MONUMENT, NO_DISTRICT, VALUE 29.0, Build City Building
3, 5, LOC_CITY_NAME_ATHENS, , CONTRACT 71, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 14.0, Build Trigger Unit
3, 12, LOC_CITY_NAME_JERUSALEM, , CONTRACT 73, SUBMITTED, UNIT_BUILDER, NO_BUILDING, NO_DISTRICT, VALUE 77.0, Build City Improvement
4, 2, LOC_CITY_NAME_RA_KEDET, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 15
4, 3, LOC_CITY_NAME_NIDAROS, , , UNIT_BUILDER, Build City Improvement, CONTRACT 65
4, 4, LOC_CITY_NAME_AACHEN, , , UNIT_BUILDER, Build City Improvement, CONTRACT 32
4, 5, LOC_CITY_NAME_ATHENS, , , UNIT_SLINGER, Build Trigger Unit, CONTRACT 67
5, 1, LOC_CITY_NAME_URUK, , , UNIT_BUILDER, Build City Improvement, CONTRACT 11
