Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers
1, 0, 0, 0, 0, 1:0, 2:1, NO_TECH
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
1, 4, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 5, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 6, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 7, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 8, 0, 0, 0, 0:0, 0:1, NO_TECH
1, 9, 0, 0, 0, 0:0, 0:1, NO_TECH
2, 0, 20, 0, 0, 1:0, 1:1, NO_TECH
2, 1, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
2, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 5, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
2, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
2, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 0, 20, 0, 0, 1:0, 1:1, NO_TECH
3, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
3, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 3, 30, 0, 0, 2:0, 0:0, NO_TECH
3, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 5, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
3, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
3, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
4, 0, 20, 0, 0, 1:0, 1:1, NO_TECH
4, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 2, 30, 0, 0, 2:0, 0:0, NO_TECH
4, 3, 30, 0, 0, 2:0, 1:1, NO_TECH
4, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 5, 40, 10, 0, 0:0, 0:1, NO_TECH
4, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
4, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
4, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
5, 0, 20, 10, 0, 1:0, 2:1, NO_TECH
5, 1, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
5, 3, 10, 0, 0, 2:0, 1:1, NO_TECH
5, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 5, 40, 10, 0, 0:0, 0:1, NO_TECH
5, 6, 35, 0, 0, 0:0, 0:1, NO_TECH
5, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
5, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
6, 0, 20, 10, 0, 1:0, 2:1, NO_TECH
6, 1, 30, 25, 0, 2:0, 2:1, TECH_ARCHERY
6, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
6, 3, 10, 0, 0, 1:0, 2:1, NO_TECH
6, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 5, 40, 10, 0, 0:0, 0:1, NO_TECH
6, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
6, 7, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
6, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
7, 0, 20, 10, 0, 1:0, 2:1, NO_TECH
7, 1, 45, 25, 0, 1:0, 3:1, TECH_ARCHERY
7, 2, 30, 0, 0, 2:0, 1:1, NO_TECH
7, 3, 10, 0, 0, 1:0, 1:1, NO_TECH
7, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 5, 40, 10, 0, 0:0, 0:1, NO_TECH
7, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
7, 7, 40, 0, 10, 0:0, 0:1, NO_TECH
7, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
7, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
8, 0, 20, 0, 0, 1:0, 2:1, NO_TECH
8, 1, 45, 35, 0, 2:0, 2:1, TECH_ARCHERY
8, 2, 30, 0, 20, 2:0, 1:1, NO_TECH
8, 3, 10, 0, 0, 1:0, 2:1, NO_TECH
8, 4, 40, 0, 10, 0:0, 0:1, NO_TECH
8, 5, 40, 0, 20, 0:0, 0:1, NO_TECH
8, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
8, 7, 40, 0, 10, 0:0, 0:1, NO_TECH
8, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
8, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
9, 0, 20, 0, 0, 1:0, 3:1, NO_TECH
9, 1, 65, 35, 0, 2:0, 2:1, TECH_ARCHERY
9, 2, 30, 0, 40, 2:0, 2:1, TECH_ARCHERY
9, 3, 10, 0, 20, 1:0, 2:1, NO_TECH
9, 4, 40, 0, 10, 0:0, 0:1, NO_TECH
9, 5, 40, 0, 20, 0:0, 0:1, NO_TECH
9, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
9, 7, 40, 0, 10, 0:0, 0:1, NO_TECH
9, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
9, 9, 55, 10, 0, 0:0, 0:1, NO_TECH
10, 0, 20, 0, 0, 1:0, 3:1, NO_TECH
10, 1, 65, 35, 40, 2:0, 3:1, TECH_ARCHERY
10, 2, 45, 25, 40, 3:0, 2:1, TECH_ARCHERY
10, 3, 10, 0, 20, 1:0, 2:1, NO_TECH
10, 4, 40, 0, 10, 0:0, 0:1, NO_TECH
10, 5, 40, 0, 20, 0:0, 0:1, NO_TECH
10, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
10, 7, 40, 0, 10, 0:0, 0:1, NO_TECH
10, 8, 40, 0, 0, 0:0, 0:1, NO_TECH
10, 9, 55, 10, 0, 0:0, 0:1, NO_TECH
11, 0, 20, 0, 0, 1:0, 3:1, NO_TECH
11, 1, 45, 25, 40, 1:0, 3:1, TECH_ARCHERY
11, 2, 45, 45, 40, 1:0, 3:1, TECH_ARCHERY
11, 3, 10, 0, 20, 1:0, 3:1, NO_TECH
11, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
11, 5, 20, 10, 0, 0:0, 0:1, NO_TECH
11, 6, 55, 0, 0, 0:0, 0:1, NO_TECH
11, 7, 40, 10, 10, 0:0, 0:1, NO_TECH
11, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
11, 9, 55, 10, 0, 0:0, 0:1, NO_TECH
12, 0, 20, 0, 0, 1:0, 3:1, TECH_ARCHERY
12, 1, 45, 35, 40, 1:0, 3:1, TECH_ARCHERY
12, 2, 45, 45, 40, 1:0, 3:1, TECH_ARCHERY
12, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
12, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
12, 5, 0, 10, 20, 0:0, 0:1, NO_TECH
12, 6, 55, 0, 20, 0:0, 0:1, NO_TECH
12, 7, 40, 10, 20, 0:0, 0:1, NO_TECH
12, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
12, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
13, 0, 20, 20, 0, 1:0, 3:1, TECH_ARCHERY
13, 1, 45, 35, 20, 2:0, 3:1, TECH_ARCHERY
13, 2, 45, 45, 40, 1:0, 3:1, TECH_ARCHERY
13, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
13, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
13, 5, 0, 10, 20, 0:0, 0:1, NO_TECH
13, 6, 55, 0, 20, 0:0, 0:1, NO_TECH
13, 7, 40, 10, 35, 0:0, 0:1, NO_TECH
13, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
13, 9, 55, 0, 0, 0:0, 0:1, NO_TECH
14, 0, 20, 45, 0, 1:0, 3:1, TECH_ARCHERY
14, 1, 65, 35, 20, 3:0, 3:1, TECH_ARCHERY
14, 2, 45, 45, 40, 1:0, 3:1, TECH_ARCHERY
14, 3, 0, 0, 0, 1:0, 3:1, NO_TECH
14, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
14, 5, 0, 10, 0, 0:0, 0:1, NO_TECH
14, 6, 55, 0, 20, 0:0, 0:1, NO_TECH
14, 7, 40, 20, 35, 0:0, 0:1, NO_TECH
14, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
14, 9, 55, 25, 10, 0:0, 0:1, TECH_ARCHERY
15, 0, 20, 45, 0, 1:0, 3:1, TECH_ARCHERY
15, 1, 85, 0, 35, 4:0, 3:1, TECH_ARCHERY
15, 2, 45, 20, 40, 3:0, 1:1, TECH_ARCHERY
15, 3, 30, 20, 0, 1:0, 3:1, NO_TECH
15, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
15, 5, 0, 0, 0, 0:0, 0:1, NO_TECH
15, 6, 55, 0, 20, 0:0, 0:1, NO_TECH
15, 7, 40, 20, 15, 0:0, 0:1, NO_TECH
15, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
15, 9, 55, 40, 10, 0:0, 0:1, TECH_ARCHERY
16, 0, 30, 45, 0, 2:0, 3:1, TECH_ARCHERY
16, 1, 95, 20, 35, 5:0, 3:1, TECH_ARCHERY
16, 2, 45, 20, 40, 3:0, 1:1, TECH_ARCHERY
16, 3, 30, 0, 0, 2:0, 3:1, NO_TECH
16, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
16, 5, 0, 0, 0, 0:0, 0:1, NO_TECH
16, 6, 55, 10, 10, 0:0, 0:1, NO_TECH
16, 7, 40, 20, 0, 0:0, 0:1, NO_TECH
16, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
16, 9, 55, 40, 10, 0:0, 0:1, TECH_ARCHERY
17, 0, 30, 25, 0, 2:0, 3:1, TECH_ARCHERY
17, 1, 95, 40, 55, 4:0, 3:1, TECH_ARCHERY
17, 2, 45, 0, 40, 3:0, 1:1, TECH_ARCHERY
17, 3, 30, 0, 0, 1:0, 3:1, TECH_BRONZE_WORKING
17, 4, 40, 0, 0, 0:0, 0:1, NO_TECH
17, 5, 20, 0, 0, 0:0, 0:1, NO_TECH
17, 6, 55, 10, 10, 0:0, 0:1, NO_TECH
17, 7, 40, 10, 0, 0:0, 0:1, NO_TECH
17, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
17, 9, 55, 40, 10, 0:0, 0:1, TECH_ARCHERY
18, 0, 40, 35, 0, 4:0, 1:1, TECH_ARCHERY
18, 1, 95, 40, 40, 4:0, 3:1, TECH_ARCHERY
18, 2, 45, 25, 40, 3:0, 1:1, TECH_ARCHERY
18, 3, 30, 0, 0, 1:0, 3:1, TECH_BRONZE_WORKING
18, 4, 40, 0, 10, 0:0, 0:1, NO_TECH
18, 5, 20, 0, 0, 0:0, 0:1, NO_TECH
18, 6, 55, 10, 30, 0:0, 0:1, NO_TECH
18, 7, 40, 10, 0, 0:0, 0:1, NO_TECH
18, 8, 40, 10, 0, 0:0, 0:1, NO_TECH
18, 9, 55, 40, 10, 0:0, 0:1, TECH_ARCHERY
19, 0, 40, 35, 0, 4:0, 1:1, TECH_ARCHERY
