Game Turn, Player, Action, Tech, Score
1, 0, Tech, TECH_POTTERY, 90.9, 
1, 0, Tech, TECH_ANIMAL_HUSBANDRY, 124.0, 
1, 0, Tech, TECH_MINING, 82.6, 
1, 0, Tech, TECH_SAILING, 84.7, RESEARCHING
1, 0, Tech, TECH_ASTROLOGY, 147.1, 
1, 0, Tech, TECH_IRRIGATION, 157.5, 
1, 0, Tech, TECH_ARCHERY, 135.9, 
1, 0, Tech, TECH_WRITING, 192.0, 
1, 0, Tech, TECH_MASONRY, 134.1, 
1, 0, Tech, TECH_BRONZE_WORKING, 155.0, 
1, 0, Tech, TECH_THE_WHEEL, 124.5, 
1, 0, Tech, TECH_CELESTIAL_NAVIGATION, 251.3, 
1, 0, Tech, TECH_CURRENCY, 213.1, 
1, 0, Tech, TECH_HORSEBACK_RIDING, 222.1, 
1, 0, Tech, TECH_IRON_WORKING, 137.1, 
1, 0, Tech, TECH_SHIPBUILDING, 92.1, 
1, 0, Tech, TECH_ENGINEERING, -9874.5, 
1, 0, Tech, TECH_CARTOGRAPHY, -9906.9, 
1, 1, Tech, TECH_POTTERY, 66.3, 
1, 1, Tech, TECH_ANIMAL_HUSBANDRY, 90.4, RESEARCHING
1, 1, Tech, TECH_MINING, 60.3, 
1, 1, Tech, TECH_SAILING, 32.3, 
1, 1, Tech, TECH_ASTROLOGY, 56.5, 
1, 1, Tech, TECH_IRRIGATION, 77.8, 
1, 1, Tech, TECH_ARCHERY, 69.8, 
1, 1, Tech, TECH_WRITING, 84.5, 
1, 1, Tech, TECH_MASONRY, -9938.8, 
1, 1, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 1, Tech, TECH_THE_WHEEL, -9938.8, BOOSTED
1, 1, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 1, Tech, TECH_CURRENCY, -9914.5, 
1, 1, Tech, TECH_HORSEBACK_RIDING, -9929.2, 
1, 1, Tech, TECH_IRON_WORKING, -14908.1, 
1, 1, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 1, Tech, TECH_ENGINEERING, -14908.1, 
