Turn, Num Camps, Desired Camps, Added This Turn, Land Plots, No Visibility, Tribes
1, LOC_BARBARIAN_MELEE_4, UNIT_SPEARMAN, 14-19
1, LOC_BARBARIAN_MELEE_9, UNIT_SPEARMAN, 46-25
1, LOC_BARBARIAN_NAVAL_5, UNIT_SPEARMAN, 22-27
1, 3, 12, 3, 810, 708, 3
2, LOC_BARBARIAN_MELEE_3, UNIT_SPEARMAN, 46-7
2, 4, 12, 1, 810, 695, 4
3, LOC_BARBARIAN_MELEE_5, UNIT_SPEARMAN, 8-5
3, 5, 12, 1, 810, 686, 5
4, LOC_BARBARIAN_NAVAL_6, UNIT_SPEARMAN, 53-33
4, 6, 12, 1, 810, 678, 6
5, LOC_BARBARIAN_CAVALRY_6, UNIT_SPEARMAN, 27-7
5, 7, 12, 1, 810, 653, 7
6, LOC_BARBARIAN_MELEE_8, UNIT_SPEARMAN, 55-16
6, 8, 12, 1, 810, 655, 8
7, LOC_BARBARIAN_CAVALRY_10, UNIT_SPEARMAN, 5-15
7, 9, 12, 1, 810, 650, 9
8, 9, 12, 0, 810, 643, 9
9, 9, 12, 0, 810, 635, 9
10, 9, 12, 0, 810, 624, 9
11, 9, 12, 0, 810, 614, 9
12, LOC_BARBARIAN_NAVAL_4, UNIT_SPEARMAN, 37-22
12, 9, 12, 1, 810, 619, 10
13, 9, 12, 0, 810, 604, 10
14, 9, 12, 0, 810, 616, 10
15, 9, 12, 0, 810, 575, 10
16, 9, 12, 0, 810, 561, 10
17, 9, 12, 0, 810, 551, 10
18, 8, 12, 0, 810, 550, 10
