Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
1, LOC_CITY_NAME_POKROVKA, 5.3, UNIT_BUILDER, 5.3, 25, 0.0
2, LOC_CITY_NAME_POKROVKA, 5.3, UNIT_BUILDER, 10.5, 25, 0.0
2, LOC_CITY_NAME_ROME, 7.5, UNIT_SCOUT, 7.5, 15, 0.0
2, LOC_CITY_NAME_ST_PETERSBURG, 3.8, UNIT_SCOUT, 3.8, 15, 0.0
2, LOC_CITY_NAME_URUK, 5.0, UNIT_SCOUT, 5.0, 15, 0.0
2, LOC_CITY_NAME_KUMASI, 3.3, BUILDING_MONUMENT, 3.3, 30, 0.0
2, LOC_CITY_NAME_VALLETTA, 2.8, BUILDING_MONUMENT, 2.8, 30, 0.0
2, LOC_CITY_NAME_PRESLAV, 5.0, UNIT_SLINGER, 5.0, 17, 0.0
2, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 3.3, 30, 0.0
2, LOC_CITY_NAME_AMSTERDAM, 2.8, BUILDING_MONUMENT, 2.8, 30, 0.0
2, LOC_CITY_NAME_KANDY, 5.0, UNIT_SLINGER, 5.0, 17, 0.0
3, LOC_CITY_NAME_POKROVKA, 5.3, UNIT_BUILDER, 15.8, 25, 0.0
3, LOC_CITY_NAME_ROME, 7.5, UNIT_SCOUT, 15.0, 15, 0.0
3, LOC_CITY_NAME_ST_PETERSBURG, 3.8, UNIT_SCOUT, 7.5, 15, 0.0
3, LOC_CITY_NAME_URUK, 5.0, UNIT_SCOUT, 10.0, 15, 0.0
3, LOC_CITY_NAME_KUMASI, 3.3, BUILDING_MONUMENT, 6.6, 30, 0.0
3, LOC_CITY_NAME_VALLETTA, 2.8, BUILDING_MONUMENT, 5.5, 30, 0.0
3, LOC_CITY_NAME_PRESLAV, 5.0, UNIT_SLINGER, 9.9, 17, 0.0
3, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 6.6, 30, 0.0
3, LOC_CITY_NAME_AMSTERDAM, 2.8, BUILDING_MONUMENT, 5.5, 30, 0.0
3, LOC_CITY_NAME_KANDY, 5.0, UNIT_SLINGER, 9.9, 17, 0.0
4, LOC_CITY_NAME_POKROVKA, 5.3, UNIT_BUILDER, 21.0, 25, 0.0
4, LOC_CITY_NAME_ROME, 7.5, UNIT_BUILDER, 7.5, 25, 0.0
4, LOC_CITY_NAME_ST_PETERSBURG, 5.0, UNIT_SCOUT, 12.5, 15, 0.0
4, LOC_CITY_NAME_URUK, 5.0, UNIT_SCOUT, 15.0, 15, 0.0
4, LOC_CITY_NAME_KUMASI, 3.3, BUILDING_MONUMENT, 9.9, 30, 0.0
4, LOC_CITY_NAME_VALLETTA, 2.8, BUILDING_MONUMENT, 8.3, 30, 0.0
4, LOC_CITY_NAME_PRESLAV, 5.0, UNIT_SLINGER, 14.9, 17, 0.0
4, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 9.9, 30, 0.0
4, LOC_CITY_NAME_AMSTERDAM, 2.8, BUILDING_MONUMENT, 8.3, 30, 0.0
4, LOC_CITY_NAME_KANDY, 5.0, UNIT_SLINGER, 14.9, 17, 0.0
5, LOC_CITY_NAME_POKROVKA, 8.4, UNIT_BUILDER, 29.4, 25, 4.4
5, LOC_CITY_NAME_ROME, 7.5, UNIT_BUILDER, 15.0, 25, 0.0
5, LOC_CITY_NAME_ST_PETERSBURG, 5.0, UNIT_SCOUT, 17.5, 15, 2.5
5, LOC_CITY_NAME_URUK, 7.5, UNIT_BUILDER, 7.5, 25, 0.0
5, LOC_CITY_NAME_KUMASI, 3.3, BUILDING_MONUMENT, 13.2, 30, 0.0
5, LOC_CITY_NAME_VALLETTA, 2.8, BUILDING_MONUMENT, 11.0, 30, 0.0
5, LOC_CITY_NAME_PRESLAV, 6.6, UNIT_SLINGER, 21.5, 17, 0.1
5, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 13.2, 30, 0.0
5, LOC_CITY_NAME_AMSTERDAM, 2.8, BUILDING_MONUMENT, 11.0, 30, 0.0
5, LOC_CITY_NAME_KANDY, 5.0, UNIT_SLINGER, 19.8, 17, 0.0
6, LOC_CITY_NAME_POKROVKA, 12.8, UNIT_SETTLER, 12.8, 40, 0.0
6, LOC_CITY_NAME_ROME, 10.0, UNIT_BUILDER, 25.0, 25, 0.0
6, LOC_CITY_NAME_ST_PETERSBURG, 8.5, UNIT_BUILDER, 8.5, 25, 0.0
6, LOC_CITY_NAME_URUK, 7.5, UNIT_BUILDER, 15.0, 25, 0.0
6, LOC_CITY_NAME_KUMASI, 4.4, BUILDING_MONUMENT, 17.6, 30, 0.0
6, LOC_CITY_NAME_VALLETTA, 3.3, BUILDING_MONUMENT, 14.3, 30, 0.0
6, LOC_CITY_NAME_PRESLAV, 6.8, UNIT_BUILDER, 6.8, 25, 0.0
6, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 16.5, 30, 0.0
6, LOC_CITY_NAME_AMSTERDAM, 3.3, BUILDING_MONUMENT, 14.3, 30, 0.0
6, LOC_CITY_NAME_KANDY, 5.0, UNIT_BUILDER, 5.0, 25, 0.0
7, LOC_CITY_NAME_POKROVKA, 8.4, UNIT_SETTLER, 21.2, 40, 0.0
7, LOC_CITY_NAME_ROME, 10.0, UNIT_SLINGER, 10.0, 17, 0.0
7, LOC_CITY_NAME_ST_PETERSBURG, 6.0, UNIT_BUILDER, 14.5, 25, 0.0
7, LOC_CITY_NAME_URUK, 7.5, UNIT_BUILDER, 22.5, 25, 0.0
7, LOC_CITY_NAME_KUMASI, 4.4, BUILDING_MONUMENT, 22.0, 30, 0.0
7, LOC_CITY_NAME_VALLETTA, 3.3, BUILDING_MONUMENT, 17.6, 30, 0.0
7, LOC_CITY_NAME_PRESLAV, 6.6, UNIT_BUILDER, 13.4, 25, 0.0
7, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 19.8, 30, 0.0
7, LOC_CITY_NAME_AMSTERDAM, 3.3, BUILDING_MONUMENT, 17.6, 30, 0.0
7, LOC_CITY_NAME_KANDY, 5.0, UNIT_BUILDER, 9.9, 25, 0.0
8, LOC_CITY_NAME_POKROVKA, 9.4, UNIT_SETTLER, 30.6, 40, 0.0
8, LOC_CITY_NAME_ROME, 10.0, UNIT_SLINGER, 20.0, 17, 3.0
8, LOC_CITY_NAME_ST_PETERSBURG, 8.4, UNIT_BUILDER, 22.9, 25, 0.0
8, LOC_CITY_NAME_URUK, 9.6, UNIT_BUILDER, 32.1, 25, 7.1
8, LOC_CITY_NAME_KUMASI, 4.4, BUILDING_MONUMENT, 26.4, 30, 0.0
8, LOC_CITY_NAME_VALLETTA, 3.3, BUILDING_MONUMENT, 20.9, 30, 0.0
8, LOC_CITY_NAME_PRESLAV, 6.0, UNIT_BUILDER, 19.4, 25, 0.0
8, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 23.1, 30, 0.0
8, LOC_CITY_NAME_AMSTERDAM, 3.3, BUILDING_MONUMENT, 20.9, 30, 0.0
8, LOC_CITY_NAME_KANDY, 6.0, UNIT_BUILDER, 15.9, 25, 0.0
9, LOC_CITY_NAME_POKROVKA, 9.4, UNIT_SETTLER, 40.1, 40, 0.1
9, LOC_CITY_NAME_ROME, 13.0, UNIT_WARRIOR, 13.0, 20, 0.0
9, LOC_CITY_NAME_ST_PETERSBURG, 10.8, UNIT_BUILDER, 33.7, 25, 6.3
9, LOC_CITY_NAME_URUK, 16.7, UNIT_BUILDER, 16.7, 27, 0.0
9, LOC_CITY_NAME_KUMASI, 4.4, BUILDING_MONUMENT, 30.8, 30, 0.8
9, LOC_CITY_NAME_VALLETTA, 3.3, BUILDING_MONUMENT, 24.2, 30, 0.0
9, LOC_CITY_NAME_PRESLAV, 6.0, UNIT_BUILDER, 25.4, 25, 0.0
9, LOC_CITY_NAME_BANDAR_BRUNEI, 3.3, BUILDING_MONUMENT, 26.4, 30, 0.0
9, LOC_CITY_NAME_AMSTERDAM, 3.3, BUILDING_MONUMENT, 24.2, 30, 0.0
9, LOC_CITY_NAME_KANDY, 6.0, UNIT_BUILDER, 21.9, 25, 0.0
10, LOC_CITY_NAME_POKROVKA, 9.5, UNIT_SETTLER, 9.5, 55, 0.0
10, LOC_CITY_NAME_ROME, 10.0, UNIT_WARRIOR, 23.0, 20, 3.0
10, LOC_CITY_NAME_ST_PETERSBURG, 14.7, BUILDING_STONEHENGE, 14.7, 90, 0.0
10, LOC_CITY_NAME_URUK, 9.6, UNIT_BUILDER, 26.3, 27, 0.0
10, LOC_CITY_NAME_KUMASI, 5.2, BUILDING_GRANARY, 5.2, 32, 0.0
10, LOC_CITY_NAME_VALLETTA, 3.3, BUILDING_MONUMENT, 27.5, 30, 0.0
10, LOC_CITY_NAME_PRESLAV, 2.0, BUILDING_GRANARY, 2.0, 32, 0.0
