Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
4, 0, 63, 1:1, 131073:262147, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 18, 52
4, 0, 63, 1:1, 131073:262147, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 3, -5, 15, 72
5, 3, 63, 1:1, 131073:589832, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 30, 22
6, 1, 63, 1:1, 131073:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 39, 21
6, 3, 63, 1:1, 131073:589832, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 4, 45, 23
6, 63, 3, 1:1, 589832:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, -2, 27, 36
7, 1, 63, 1:1, 131073:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 4, 39, 24
7, 63, 1, 1:1, 458758:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, -3, 25, 39
8, 9, 63, 1:1, 196610:1114127, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 14, 45
10, 2, 63, 1:1, 327683:393221, UNIT_SLINGER, UNIT_GALLEY, 15, 30, 0, 0, 0, 18
10, 2, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 34, 25
10, 63, 2, 1:1, 65536:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -2, 2, 31, 34
11, 5, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, -6, 19, 38
11, 63, 5, 1:1, 65536:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -9, 8, 44, 15
12, 63, 5, 1:1, 1310738:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 5, 41, 22
12, 63, 0, 1:1, 1376275:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 5, 33, 22
13, 0, 63, 1:1, 131073:1376275, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 9, 0, 22, 46
13, 5, 63, 1:1, 196610:1310738, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, 2, 31, 27
13, 63, 5, 1:1, 1310738:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 0, 36, 19
13, 63, 0, 1:1, 1376275:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, 2, 51, 23
14, 9, 63, 1:1, 131073:1900570, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, 0, 14, 57
14, 63, 9, 1:1, 1900570:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 4, 0, 19
15, 6, 63, 1:1, 262144:1572886, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 5, 0, 0, 47
15, 8, 63, 1:1, 131073:1114127, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -1, 16, 46
15, 9, 63, 1:1, 131073:1900570, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 2, -6, 11, 62
15, 63, 1, 1:1, 1441812:589830, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 3, 19, 45
16, 9, 63, 1:1, 131073:1048590, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 9, 43, 18
16, 63, 0, 1:1, 2031635:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 18
17, 0, 63, 1:1, 131073:2031635, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 11, 0, 9, 72
17, 0, 63, 1:1, 131073:2031635, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 15, -7, 8, 100
17, 8, 63, 1:1, 131073:1114127, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -9, 14, 84
17, 9, 63, 1:1, 196610:1048590, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 7, 33, 24
17, 63, 1, 1:1, 2162716:655362, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 3, 22, 41
17, 63, 1, 1:1, 1441812:655362, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, -1, 23, 39
17, 63, 2, 1:1, 327684:327683, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, 0, 5, 14, 59
18, 9, 63, 1:1, 131073:1048590, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 14, 5, 27, 39
18, 9, 63, 1:1, 196610:1048590, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 1, 23, 28
18, 63, 1, 1:1, 2162716:589830, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 4, 21, 30
