Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food, BY TYPE: Tiles, Buildings, Districts, Population, Outg
1, CIVILIZATION_SCYTHIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 4, 7, 10, 0, 0, 0, 0
1, CIVILIZATION_ROME, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_RUSSIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SUMERIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KUMASI, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VALLETTA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JAKARTA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_AMSTERDAM, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KANDY, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_SCYTHIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 5, 4, 7, 10, 0, 0, 0, 0
2, CIVILIZATION_ROME, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 3, 3, 6, 0, 7, 4, 7, 12, 0, 0, 0, 0
2, CIVILIZATION_RUSSIA, 1, 1, 0, 0, 1, 0, 0, 0, 12, 0, 11, 0, 3, 1, 6, 0, 3, 7, 12, 10, 0, 0, 0, 0
2, CIVILIZATION_SUMERIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 3, 1, 6, 0, 5, 4, 7, 10, 0, 0, 0, 0
2, CIVILIZATION_KUMASI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4, 7, 10, 0, 0, 0, 0
2, CIVILIZATION_VALLETTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4, 7, 10, 0, 0, 0, 0
2, CIVILIZATION_PRESLAV, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 1, 5, 7, 10, 0, 0, 0, 0
2, CIVILIZATION_JAKARTA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4, 7, 10, 0, 0, 0, 0
