Turn, Num Camps, Desired Camps, Added This Turn, Land Plots, No Visibility, Tribes
1, LOC_BARBARIAN_CAVALRY_10, UNIT_SPEARMAN, 10-35
1, LOC_BARBARIAN_MELEE_7, UNIT_SPEARMAN, 58-40
1, LOC_BARBARIAN_MELEE_8, UNIT_SPEARMAN, 3-21
1, LOC_BARBARIAN_CAVALRY_4, UNIT_SPEARMAN, 9-13
1, 4, 18, 4, 1181, 1025, 4
2, LOC_BARBARIAN_MELEE_1, UNIT_SPEARMAN, 37-19
2, 5, 18, 1, 1181, 1001, 5
3, LOC_BARBARIAN_MELEE_9, UNIT_SPEARMAN, 35-33
3, 6, 18, 1, 1181, 996, 6
4, LOC_BARBARIAN_MELEE_4, UNIT_SPEARMAN, 54-13
4, 7, 18, 1, 1181, 951, 7
5, LOC_BARBARIAN_CAVALRY_7, UNIT_SPEARMAN, 18-7
5, 8, 18, 1, 1181, 936, 8
6, LOC_BARBARIAN_CAVALRY_5, UNIT_SPEARMAN, 63-25
6, 9, 18, 1, 1181, 948, 9
7, LOC_BARBARIAN_MELEE_5, UNIT_SPEARMAN, 20-39
7, 10, 18, 1, 1181, 924, 10
8, LOC_BARBARIAN_MELEE_2, UNIT_SPEARMAN, 17-21
8, 11, 18, 1, 1181, 900, 11
9, LOC_BARBARIAN_MELEE_10, UNIT_SPEARMAN, 48-29
9, 12, 18, 1, 1181, 909, 12
10, LOC_BARBARIAN_MELEE_3, UNIT_SPEARMAN, 68-12
10, 13, 18, 1, 1181, 924, 13
11, LOC_BARBARIAN_MELEE_6, UNIT_SPEARMAN, 65-38
11, 14, 18, 1, 1181, 922, 14
12, 14, 18, 0, 1181, 938, 14
13, 14, 18, 0, 1181, 924, 14
14, 14, 18, 0, 1181, 905, 14
15, 14, 18, 0, 1181, 872, 14
16, 14, 18, 0, 1181, 843, 14
17, 14, 18, 0, 1181, 815, 14
18, 14, 18, 0, 1181, 820, 14
19, 14, 18, 0, 1181, 834, 14
20, 14, 18, 0, 1181, 858, 14
21, 13, 18, 0, 1181, 854, 14
22, 13, 18, 0, 1181, 849, 14
23, 13, 18, 0, 1181, 860, 14
24, 13, 18, 0, 1181, 858, 14
25, 13, 18, 0, 1181, 871, 14
26, 13, 18, 0, 1181, 864, 14
27, LOC_BARBARIAN_CAVALRY_9, UNIT_SPEARMAN, 18-28
27, 13, 18, 1, 1181, 860, 15
28, 13, 18, 0, 1181, 849, 15
29, 13, 18, 0, 1181, 830, 15
30, 12, 18, 0, 1181, 847, 15
31, 12, 18, 0, 1181, 835, 15
32, 12, 18, 0, 1181, 810, 15
33, 12, 18, 0, 1181, 802, 15
34, 12, 18, 0, 1181, 806, 15
35, 12, 18, 0, 1181, 784, 15
36, 12, 18, 0, 1181, 761, 15
37, 12, 18, 0, 1181, 735, 15
38, 12, 18, 0, 1181, 748, 15
39, 12, 18, 0, 1181, 755, 15
40, 12, 18, 0, 1181, 772, 15
41, 12, 18, 0, 1181, 791, 15
42, 12, 18, 0, 1181, 791, 15
43, 12, 18, 0, 1181, 790, 15
44, 12, 18, 0, 1181, 793, 15
45, 12, 18, 0, 1181, 772, 15
46, 12, 18, 0, 1181, 758, 15
47, 11, 18, 0, 1181, 738, 15
48, 10, 18, 0, 1181, 713, 15
49, LOC_BARBARIAN_NAVAL_6, UNIT_SPEARMAN, 25-26
49, 11, 18, 1, 1181, 722, 16
50, 11, 18, 0, 1181, 720, 16
51, 11, 18, 0, 1181, 704, 16
52, 11, 18, 0, 1181, 696, 16
53, 11, 18, 0, 1181, 687, 16
54, 11, 18, 0, 1181, 586, 16
55, 11, 18, 0, 1181, 564, 16
56, 10, 18, 0, 1181, 566, 16
57, 10, 18, 0, 1181, 559, 16
58, 10, 18, 0, 1181, 531, 16
59, 10, 18, 0, 1181, 528, 16
60, 9, 18, 0, 1181, 483, 16
61, 8, 18, 0, 1181, 472, 16
62, 8, 18, 0, 1181, 506, 16
63, 8, 18, 0, 1181, 508, 16
64, 8, 18, 0, 1181, 528, 16
65, 8, 18, 0, 1181, 510, 16
66, 8, 18, 0, 1181, 512, 16
67, 8, 18, 0, 1181, 534, 16
68, 8, 18, 0, 1181, 508, 16
69, 8, 18, 0, 1181, 517, 16
70, 8, 18, 0, 1181, 503, 16
71, 8, 18, 0, 1181, 485, 16
72, 8, 18, 0, 1181, 506, 16
73, 8, 18, 0, 1181, 485, 16
74, 8, 18, 0, 1181, 477, 16
75, 8, 18, 0, 1181, 491, 16
76, 8, 18, 0, 1181, 491, 16
77, 8, 18, 0, 1181, 506, 16
