Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
5, 1, 63, 1:1, 131073:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 27, 41
7, 11, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 38, 27
7, 11, 63, 1:1, 196610:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 40, 24
8, 11, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 1, 30, 31
8, 63, 11, 1:1, 1376276:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -2, 31, 32
10, 3, 63, 1:1, 131073:1376276, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, -3, 24, 48
10, 6, 63, 1:1, 131073:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 6, 36, 34
10, 63, 3, 1:1, 1376276:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, 3, 41, 22
11, 3, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, -2, 25, 39
11, 6, 63, 1:1, 131073:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 3, 34, 24
11, 7, 63, 1:1, 131073:1048591, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 16, 63
11, 11, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, 0, 20, 45
12, 6, 63, 1:1, 196610:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 15, 45
12, 63, 1, 1:1, 1245202:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 0, 0, 25
13, 2, 63, 1:1, 131073:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 15, 9, 26, 34
13, 6, 63, 1:1, 196610:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, -4, 14, 51
13, 63, 1, 1:1, 1245202:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 1, 0, 24
14, 1, 63, 1:1, 131073:1245202, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -3, 0, 15, 39
14, 2, 63, 1:1, 131073:1507350, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 7, 0, 13, 69
14, 4, 63, 1:1, 327683:196610, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, 3, 0, 16
14, 5, 63, 1:1, 327683:2162719, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 0, 0, 0, 52
14, 12, 63, 1:1, 131073:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 6, 30, 32
14, 63, 5, 1:1, 2162719:327683, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -5, 0, 0, 33
14, 63, 1, 1:1, 2359329:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 23, 29
14, 63, 1, 1:1, 1245202:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, -4, 0, 28
14, 63, 4, 1:1, 1310739:196608, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 3, 0, 28
14, 63, 4, 1:1, 196610:327683, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, -2, 3, 15, 51
15, 5, 63, 1:1, 131073:2097182, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 24, 40
15, 11, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, 4, 25, 47
15, 12, 63, 1:1, 131073:2752551, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, 0, 27, 26
15, 63, 5, 1:1, 2162719:327683, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -5, -3, 0, 45
15, 63, 5, 1:1, 851980:327683, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, 0, -8, 9, 91
15, 63, 1, 1:1, 1245202:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, -2, 0, 26
15, 63, 12, 1:1, 2752551:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 2, 29, 22
15, 63, 12, 1:1, 1441813:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -7, 5, 33, 26
16, 0, 63, 1:1, 262144:524295, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SCOUT, 28, 10, 5, 0, 10, 81
16, 2, 63, 1:1, 131073:2949162, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 6, 0, 27, 32
16, 12, 63, 1:1, 262144:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, -7, 21, 54
16, 63, 2, 1:1, 2949162:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 9, 41, 20
16, 63, 12, 1:1, 2752551:262144, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -5, 6, 40, 22
17, 12, 63, 1:1, 196610:2752551, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, -9, 15, 51
17, 63, 12, 1:1, 3080236:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 4, 28, 28
18, 1, 63, 1:1, 131073:1245202, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 8, -6, 8, 90
18, 63, 2, 1:1, 2949162:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 1, 45, 13
18, 63, 4, 1:1, 1310739:327683, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 0, -2, 0, 48
19, 1, 63, 1:1, 131073:2621477, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 3, 30, 34
19, 5, 63, 1:1, 393219:851980, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 5, 2, 0, 25
19, 10, 63, 1:1, 196610:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 6, 27, 26
19, 14, 63, 1:1, 131073:655369, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 3, 20, 46
19, 63, 4, 1:1, 1310739:327683, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 0, -2, 0, 52
20, 1, 63, 1:1, 458754:2621477, UNIT_ARCHER, UNIT_WARRIOR, 25, 20, 5, -3, 0, 52
20, 5, 63, 1:1, 393219:851980, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 5, 3, 0, 25
20, 10, 63, 1:1, 196610:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 3, 35, 31
20, 63, 7, 1:1, 2359329:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -2, 13, 62, 18
20, 63, 2, 1:1, 3473456:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 6, 0, 16
21, 1, 63, 1:1, 458754:2621477, UNIT_ARCHER, UNIT_WARRIOR, 25, 20, 5, -6, 0, 46
21, 4, 63, 1:1, 131073:1310739, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, 0, 12, 63
21, 6, 63, 1:1, 327683:4063287, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 3, 24, 27
21, 7, 63, 1:1, 196610:3735570, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 3, 3, 13, 51
21, 63, 7, 1:1, 3735570:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 5, 0, 14
21, 63, 7, 1:1, 2359329:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, 9, 62, 14
21, 63, 6, 1:1, 4063287:327683, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 3, 37, 23
21, 63, 2, 1:1, 3473456:327682, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 0, 10, 0, 24
22, 0, 63, 1:1, 393219:3211309, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SLINGER, 28, 5, 6, 0, 10, 78
22, 1, 63, 1:1, 393220:131073, UNIT_ARCHER, UNIT_SCOUT, 25, 10, 5, -4, 0, 82
22, 2, 63, 1:1, 327682:3473456, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 8, 0, 0, 68
22, 11, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, -6, 13, 49
22, 63, 7, 1:1, 3735570:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, -1, 0, 24
22, 63, 6, 1:1, 4063287:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, 5, 53, 17
22, 63, 2, 1:1, 3473456:327682, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -7, 8, 0, 27
23, 7, 63, 1:1, 131073:3276846, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 11, 42, 21
23, 8, 63, 1:1, 393220:1966109, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 5, 0, 20, 33
23, 12, 63, 1:1, 262144:3473456, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, -7, 9, 88
23, 14, 63, 1:1, 196610:3604530, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 0, 27, 33
23, 63, 2, 1:1, 3211309:196608, UNIT_SLINGER, UNIT_SCOUT, 15, 10, -8, 5, 0, 22
23, 63, 0, 1:1, 3080236:262144, UNIT_WARRIOR, UNIT_AZTEC_EAGLE_WARRIOR, 20, 28, -3, 5, 57, 16
23, 63, 14, 1:1, 3604530:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 2, 31, 19
23, 63, 1, 1:1, 3735570:196608, UNIT_SLINGER, UNIT_SCOUT, 15, 10, -5, -3, 0, 35
23, 63, 14, 1:1, 4128824:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 34, 33
24, 0, 63, 1:1, 262144:3080236, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_WARRIOR, 28, 20, 5, -8, 11, 66
24, 6, 63, 1:1, 196610:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 8, 0, 24, 37
24, 14, 63, 1:1, 196610:3604530, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, -6, 29, 27
24, 63, 5, 1:1, 3145749:393219, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 5, 20, 46
24, 63, 5, 1:1, 3407919:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 24, 32
24, 63, 7, 1:1, 3735570:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 4, 0, 19
24, 63, 10, 1:1, 65536:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -6, 13, 54, 17
25, 5, 63, 1:1, 196608:3407919, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 2, -2, 40, 22
25, 6, 63, 1:1, 196610:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, -3, 29, 37
25, 7, 63, 1:1, 393220:1769498, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 5, 0, 21, 33
25, 8, 63, 1:1, 393220:1966109, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 3, -3, 23, 41
25, 10, 63, 1:1, 131073:4194361, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, 0, 21, 32
25, 63, 5, 1:1, 3145749:393219, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 5, 21, 45
25, 63, 5, 1:1, 3407919:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -5, -2, 19, 44
25, 63, 7, 1:1, 1769498:393220, UNIT_GALLEY, UNIT_GALLEY, 30, 30, -3, 3, 37, 27
25, 63, 7, 1:1, 3735570:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, -1, 0, 20
25, 63, 10, 1:1, 4194361:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 4, 47, 23
25, 63, 4, 1:1, 1310739:196608, UNIT_SLINGER, UNIT_SCOUT, 15, 10, -6, 5, 0, 22
26, 0, 63, 1:1, 393219:3604530, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_WARRIOR, 28, 20, 6, -9, 11, 59
26, 4, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 0, 25, 35
26, 5, 63, 1:1, 655360:3407919, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, -6, 19, 47
