Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
3, 4, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 34, 21
4, 4, 63, 1:1, 131073:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 4, 33, 24
4, 11, 63, 1:1, 131073:655369, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 20, 52
4, 63, 4, 1:1, 327684:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, -2, 22, 36
5, 8, 63, 1:1, 131073:524295, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 16, 61
5, 27, 63, 1:1, 262144:1048591, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, -2, 0, 39
6, 1, 63, 1:1, 131073:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 9, 32, 21
6, 6, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 5, 40, 23
6, 11, 63, 1:1, 262146:655369, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 1, 0, 33
6, 19, 63, 1:1, 262144:65536, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, -2, 0, 24
6, 19, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, -5, 23, 31
7, 1, 63, 1:1, 131073:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 7, 43, 25
7, 6, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, -5, 27, 29
8, 10, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 22, 47
8, 19, 63, 1:1, 196610:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 8, 20, 37
8, 20, 63, 1:1, 131073:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 4, 29, 29
8, 63, 20, 1:1, 2228257:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 7, 40, 23
8, 63, 20, 1:1, 851980:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -7, 10, 52, 22
9, 63, 7, 1:1, 2293794:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 27, 29
10, 10, 63, 1:1, 131073:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 9, 39, 21
10, 63, 7, 1:1, 2293794:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 0, 28, 24
10, 63, 11, 1:1, 2097183:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 0, 27, 32
10, 63, 3, 1:1, 2162720:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 25, 32
10, 63, 8, 1:1, 2031646:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 5, 32, 24
11, 2, 63, 1:1, 131073:2555916, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 38, 28
11, 8, 63, 1:1, 131073:2031646, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, -3, 27, 31
11, 22, 63, 1:1, 131073:1835035, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -5, 13, 54
11, 25, 63, 1:1, 131073:2621477, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 15, 57
11, 26, 63, 1:1, 131073:2490404, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 0, 28, 36
11, 29, 63, 1:1, 131073:917517, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 15, 45
11, 63, 7, 1:1, 2293794:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -5, 2, 41, 26
11, 63, 11, 1:1, 2097183:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 0, 26, 32
11, 63, 8, 1:1, 2031646:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, 0, 36, 21
12, 2, 63, 1:1, 131073:2555916, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 3, 46, 18
12, 11, 63, 1:1, 262146:3211310, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 0, 0, 24
12, 11, 63, 1:1, 131073:2097183, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -5, -5, 32, 32
12, 13, 63, 1:1, 262144:2883625, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, 0, 0, 34
12, 26, 63, 1:1, 196610:2490404, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 1, 27, 40
12, 26, 63, 1:1, 131073:2490404, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, -8, 20, 38
12, 63, 7, 1:1, 2293794:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -10, -6, 38, 23
12, 63, 1, 1:1, 2228257:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, 6, 41, 18
12, 63, 13, 1:1, 2883625:262144, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -3, 10, 30, 29
12, 63, 11, 1:1, 3211310:262146, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 0, 18, 47
12, 63, 11, 1:1, 2097183:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, -9, 35, 13
12, 63, 8, 1:1, 2031646:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -10, 3, 49, 20
13, 13, 63, 1:1, 262144:2883625, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 2, -6, 0, 40
13, 25, 63, 1:1, 131073:2555916, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 1, 26, 38
13, 25, 63, 1:1, 196610:2555916, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, -2, 22, 47
13, 63, 1, 1:1, 2228257:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, 10, 62, 15
13, 63, 11, 1:1, 3211310:262146, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -4, 0, 19, 47
14, 10, 63, 1:1, 131073:3997749, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -4, 0, 21, 46
14, 13, 63, 1:1, 262144:589832, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 2, 0, 0, 24
14, 22, 63, 1:1, 131073:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 7, 37, 23
14, 63, 6, 1:1, 3276847:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 5, 28, 33
14, 63, 10, 1:1, 3997749:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, -6, 0, 26
14, 63, 22, 1:1, 1769498:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, 5, 30, 26
14, 63, 27, 1:1, 3932212:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 5, 43, 20
14, 63, 13, 1:1, 589832:262144, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, -2, 7, 16, 51
14, 63, 11, 1:1, 3211310:262146, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -6, 1, 22, 36
15, 13, 63, 1:1, 262144:589832, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, -3, -4, 0, 24
15, 63, 10, 1:1, 3997749:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, -9, 0, 25
15, 63, 22, 1:1, 1769498:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -7, 10, 53, 18
15, 63, 27, 1:1, 3932212:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, 6, 46, 19
15, 63, 1, 1:1, 4522042:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 1, 0, 27
15, 63, 13, 1:1, 3866654:262144, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 0, -3, 0, 41
15, 63, 11, 1:1, 4390968:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 1, 26, 23
15, 63, 5, 1:1, 4259894:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 18, 49
15, 63, 8, 1:1, 4325431:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 4, 0, 22
16, 1, 63, 1:1, 131073:4522042, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 8, 3, 14, 51
16, 27, 63, 1:1, 262144:1048591, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 5, -4, 0, 57
16, 63, 22, 1:1, 3997749:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 6, 0, 18
16, 63, 26, 1:1, 4915264:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 8, 48, 25
16, 63, 27, 1:1, 3932212:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -9, 8, 62, 17
16, 63, 27, 1:1, 4587579:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 6, 42, 23
16, 63, 1, 1:1, 4522042:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, -3, 0, 22
16, 63, 8, 1:1, 4325431:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 23
17, 16, 63, 1:1, 131073:2424867, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 19, 45
17, 16, 63, 1:1, 196610:2424867, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -4, 11, 68
17, 22, 63, 1:1, 196610:3997749, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 1, -5, 15, 66
17, 26, 63, 1:1, 196610:4915264, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, 1, 26, 27
17, 28, 63, 1:1, 196610:4128801, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 0, 18, 59
17, 63, 26, 1:1, 4915264:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 3, 50, 17
17, 63, 4, 1:1, 1966109:393219, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 5, 0, 29
18, 4, 63, 1:1, 393219:1966109, UNIT_SCOUT, UNIT_SLINGER, 10, 5, 2, 0, 23, 45
18, 4, 63, 1:1, 196608:1966109, UNIT_SCOUT, UNIT_SLINGER, 10, 5, 5, -4, 18, 51
18, 11, 63, 1:1, 262146:4390968, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 3, -3, 0, 33
18, 28, 63, 1:1, 327683:4063273, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 6, 26, 30
18, 63, 13, 1:1, 3866654:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 24
18, 63, 13, 1:1, 589832:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -1, 8, 28, 22
18, 63, 11, 1:1, 4390968:262146, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -6, -2, 18, 48
18, 63, 4, 1:1, 4259894:327681, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 8, 20, 40
19, 4, 63, 1:1, 196608:1966109, UNIT_SCOUT, UNIT_SLINGER, 10, 5, 3, -10, 17, 70
19, 5, 63, 1:1, 458757:327684, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, -1, 0, 21
19, 28, 63, 1:1, 458752:4063273, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 3, 31, 29
19, 29, 63, 1:1, 196610:917517, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, -1, 14, 63
19, 63, 4, 1:1, 1900572:327681, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 6, 23, 42
19, 63, 20, 1:1, 4522042:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 3, 0, 21
19, 63, 13, 1:1, 3866654:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 3, 0, 19
19, 63, 13, 1:1, 589832:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, 7, 30, 21
19, 63, 4, 1:1, 4259894:327681, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -4, 1, 18, 48
20, 5, 63, 1:1, 458757:327684, UNIT_SLINGER, UNIT_SPEARMAN, 15, 25, 0, -3, 0, 18
20, 8, 63, 1:1, 196608:6291536, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 10, 0, 30, 31
20, 20, 63, 1:1, 131073:4522042, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 1, 0, 18, 64
20, 21, 63, 1:1, 196610:4849727, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 3, 31, 38
20, 28, 63, 1:1, 327683:4063273, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 5, 31, 26
20, 28, 63, 1:1, 458752:4063273, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, -2, 26, 38
20, 63, 4, 1:1, 3801119:524293, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 16
20, 63, 4, 1:1, 3145773:524293, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 3, 38, 24
20, 63, 10, 1:1, 5177411:524290, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 18
20, 63, 21, 1:1, 4849727:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, 5, 49, 21
20, 63, 25, 1:1, 2621477:196610, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -6, 5, 65, 14
20, 63, 29, 1:1, 5374022:524293, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 5, 0, 24
20, 63, 13, 1:1, 3866654:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 4, 0, 18
20, 63, 13, 1:1, 589832:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -7, 7, 37, 10
20, 63, 8, 1:1, 6291536:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -3, 13, 43, 27
20, 63, 4, 1:1, 3473457:720897, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 10, 38, 20
20, 63, 4, 1:1, 4259894:720897, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -6, 3, 42, 24
21, 10, 63, 1:1, 524290:5177411, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 3, 3, 19, 51
21, 11, 63, 1:1, 196608:3211310, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 5, -5, 24, 25
21, 21, 63, 1:1, 196610:4849727, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -6, 24, 37
21, 29, 63, 1:1, 524293:5374022, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 3, 0, 17, 50
21, 63, 4, 1:1, 3801119:524293, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 1, 0, 20
21, 63, 4, 1:1, 3145773:524293, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, -1, 39, 29
21, 63, 21, 1:1, 5177411:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 0, 0, 19
21, 63, 6, 1:1, 131073:131073, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -4, 5, 62, 15
21, 63, 28, 1:1, 4128801:196610, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -6, 5, 72, 15
21, 63, 29, 1:1, 5374022:524293, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 1, 0, 18
21, 63, 8, 1:1, 6291536:196608, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -7, 4, 34, 25
22, 10, 63, 1:1, 589829:4587579, UNIT_ARCHER, UNIT_WARRIOR, 25, 20, 5, 2, 0, 33
22, 11, 63, 1:1, 196608:4390968, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 3, -8, 24, 27
22, 18, 63, 1:1, 262144:6357021, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 3, 27, 34
22, 18, 63, 1:1, 393220:6357021, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 0, 27, 41
22, 20, 63, 1:1, 131073:6946899, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 12, 3, 18, 44
22, 28, 63, 1:1, 524293:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 5, 8, 26, 34
22, 28, 63, 1:1, 196610:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, 0, 17, 57
22, 29, 63, 1:1, 524293:5374022, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -1, -5, 1, 100
22, 63, 10, 1:1, 5177411:524290, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -5, 1, 0, 18
