Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
1, LOC_CITY_NAME_ATHENS, 5.3, UNIT_SCOUT, 5.3, 15, 0.0
2, LOC_CITY_NAME_ATHENS, 5.3, UNIT_SCOUT, 10.5, 15, 0.0
2, LOC_CITY_NAME_PARIS, 6.3, UNIT_SCOUT, 6.3, 15, 0.0
2, LOC_CITY_NAME_ROME, 5.0, UNIT_SCOUT, 5.0, 15, 0.0
2, LOC_CITY_NAME_TENOCHTITLAN, 7.5, UNIT_SCOUT, 7.5, 15, 0.0
2, LOC_CITY_NAME_URUK, 6.3, UNIT_SCOUT, 6.3, 15, 0.0
2, LOC_CITY_NAME_BRUSSELS, 2.2, BUILDING_MONUMENT, 2.2, 30, 0.0
2, LOC_CITY_NAME_LISBON, 2.2, BUILDING_MONUMENT, 2.2, 30, 0.0
2, LOC_CITY_NAME_HATTUSA, 2.8, BUILDING_MONUMENT, 2.8, 30, 0.0
2, LOC_CITY_NAME_STOCKHOLM, 2.8, BUILDING_MONUMENT, 2.8, 30, 0.0
2, LOC_CITY_NAME_GENEVA, 2.2, BUILDING_MONUMENT, 2.2, 30, 0.0
2, LOC_CITY_NAME_LA_VENTA, 2.8, BUILDING_MONUMENT, 2.8, 30, 0.0
2, LOC_CITY_NAME_TORONTO, 5.0, UNIT_SLINGER, 5.0, 17, 0.0
2, LOC_CITY_NAME_PRESLAV, 2.2, BUILDING_MONUMENT, 2.2, 30, 0.0
2, LOC_CITY_NAME_JERUSALEM, 2.2, BUILDING_MONUMENT, 2.2, 30, 0.0
3, LOC_CITY_NAME_ATHENS, 5.3, UNIT_SCOUT, 15.8, 15, 0.8
3, LOC_CITY_NAME_DELHI, 6.3, UNIT_SCOUT, 6.3, 15, 0.0
3, LOC_CITY_NAME_PARIS, 6.3, UNIT_SCOUT, 12.5, 15, 0.0
3, LOC_CITY_NAME_ROME, 5.0, UNIT_SCOUT, 10.0, 15, 0.0
3, LOC_CITY_NAME_TENOCHTITLAN, 7.5, UNIT_SCOUT, 15.0, 15, 0.0
3, LOC_CITY_NAME_URUK, 6.3, UNIT_SCOUT, 12.5, 15, 0.0
3, LOC_CITY_NAME_BRUSSELS, 2.2, BUILDING_MONUMENT, 4.4, 30, 0.0
3, LOC_CITY_NAME_LISBON, 2.2, BUILDING_MONUMENT, 4.4, 30, 0.0
3, LOC_CITY_NAME_HATTUSA, 2.8, BUILDING_MONUMENT, 5.5, 30, 0.0
3, LOC_CITY_NAME_STOCKHOLM, 2.8, BUILDING_MONUMENT, 5.5, 30, 0.0
3, LOC_CITY_NAME_GENEVA, 2.2, BUILDING_MONUMENT, 4.4, 30, 0.0
3, LOC_CITY_NAME_LA_VENTA, 2.8, BUILDING_MONUMENT, 5.5, 30, 0.0
3, LOC_CITY_NAME_TORONTO, 5.0, UNIT_SLINGER, 9.9, 17, 0.0
3, LOC_CITY_NAME_PRESLAV, 2.2, BUILDING_MONUMENT, 4.4, 30, 0.0
3, LOC_CITY_NAME_JERUSALEM, 2.2, BUILDING_MONUMENT, 4.4, 30, 0.0
4, LOC_CITY_NAME_ATHENS, 6.0, UNIT_BUILDER, 6.0, 25, 0.0
4, LOC_CITY_NAME_DELHI, 6.3, UNIT_SCOUT, 12.5, 15, 0.0
4, LOC_CITY_NAME_PARIS, 6.3, UNIT_SCOUT, 18.8, 15, 3.8
4, LOC_CITY_NAME_ROME, 7.5, UNIT_SCOUT, 17.5, 15, 2.5
4, LOC_CITY_NAME_TENOCHTITLAN, 7.5, UNIT_BUILDER, 7.5, 25, 0.0
4, LOC_CITY_NAME_URUK, 6.3, UNIT_SCOUT, 18.8, 15, 3.8
4, LOC_CITY_NAME_BRUSSELS, 2.2, BUILDING_MONUMENT, 6.6, 30, 0.0
4, LOC_CITY_NAME_LISBON, 2.2, BUILDING_MONUMENT, 6.6, 30, 0.0
4, LOC_CITY_NAME_HATTUSA, 2.8, BUILDING_MONUMENT, 8.3, 30, 0.0
4, LOC_CITY_NAME_STOCKHOLM, 2.8, BUILDING_MONUMENT, 8.3, 30, 0.0
4, LOC_CITY_NAME_GENEVA, 2.2, BUILDING_MONUMENT, 6.6, 30, 0.0
4, LOC_CITY_NAME_LA_VENTA, 2.8, BUILDING_MONUMENT, 8.3, 30, 0.0
4, LOC_CITY_NAME_TORONTO, 5.0, UNIT_SLINGER, 14.9, 17, 0.0
4, LOC_CITY_NAME_PRESLAV, 2.2, BUILDING_MONUMENT, 6.6, 30, 0.0
4, LOC_CITY_NAME_JERUSALEM, 2.2, BUILDING_MONUMENT, 6.6, 30, 0.0
5, LOC_CITY_NAME_ATHENS, 6.3, UNIT_BUILDER, 12.3, 25, 0.0
5, LOC_CITY_NAME_DELHI, 6.3, UNIT_SCOUT, 18.8, 15, 3.8
5, LOC_CITY_NAME_PARIS, 10.0, UNIT_BUILDER, 10.0, 25, 0.0
5, LOC_CITY_NAME_ROME, 11.3, UNIT_BUILDER, 11.3, 25, 0.0
5, LOC_CITY_NAME_TENOCHTITLAN, 7.5, UNIT_BUILDER, 15.0, 25, 0.0
5, LOC_CITY_NAME_URUK, 11.3, UNIT_BUILDER, 11.3, 25, 0.0
5, LOC_CITY_NAME_BRUSSELS, 3.3, BUILDING_MONUMENT, 9.9, 30, 0.0
5, LOC_CITY_NAME_LISBON, 2.2, BUILDING_MONUMENT, 8.8, 30, 0.0
5, LOC_CITY_NAME_HATTUSA, 2.8, BUILDING_MONUMENT, 11.0, 30, 0.0
5, LOC_CITY_NAME_STOCKHOLM, 2.8, BUILDING_MONUMENT, 11.0, 30, 0.0
5, LOC_CITY_NAME_GENEVA, 2.2, BUILDING_MONUMENT, 8.8, 30, 0.0
5, LOC_CITY_NAME_LA_VENTA, 2.8, BUILDING_MONUMENT, 11.0, 30, 0.0
5, LOC_CITY_NAME_TORONTO, 5.0, UNIT_SLINGER, 19.8, 17, 0.0
5, LOC_CITY_NAME_PRESLAV, 2.2, BUILDING_MONUMENT, 8.8, 30, 0.0
5, LOC_CITY_NAME_JERUSALEM, 2.2, BUILDING_MONUMENT, 8.8, 30, 0.0
6, LOC_CITY_NAME_ATHENS, 6.3, UNIT_BUILDER, 18.6, 25, 0.0
